source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
9,12,4117,1726,11408.98956155777,3151.9424002170563,0.0533349355156275,0.0182875781181185,0.0078508255885483,0.002289183594334,-0.0055616419942143,0.0003066885307304,8.942579926150823e-05,-0.0002172627314689,0.0001980571649959,False,Cell & neural biology,Computing & networks
9,13,1648,2131,5391.560820102692,4062.718593120575,0.025204558836453,0.0235719039911734,0.0037100747108491,0.0029506594889319,-0.0007594152219171,0.0001449321920525,0.0001152660205146,-2.9666171537916196e-05,0.0001300991062836,False,Cell & neural biology,Marine ecology & paleoscience
9,14,16847,27554,49506.95224535465,65378.40856528282,0.2314359296530656,0.3793256989066635,0.0340670350693005,0.0474828411524925,0.013415806083192,0.0013308114941424,0.0018548931731725,0.0005240816790301,0.0015928523336575,True,Cell & neural biology,Immune & inflammatory disease
9,15,13264,19400,40412.73007333279,39827.6020359993,0.1889221075049673,0.2310798520431458,0.027809061762302,0.0289258754145366,0.0011168136522346,0.0010863469321384,0.0011299746925874,4.3627760448938704e-05,0.0011081608123629,False,Cell & neural biology,Cardiovascular medicine
9,16,1355,1560,3498.8499702215195,2950.171330332756,0.0163564824504178,0.0171169018385547,0.002407650627472,0.002142641886288,-0.000265008741184,9.405365399134712e-05,8.370122155634122e-05,-1.0352432435005908e-05,8.887743777384418e-05,False,Cell & neural biology,Public health & care delivery
9,17,11160,15021,32130.68201971054,29238.893573522568,0.1502050505303828,0.1696441376201311,0.0221099668131707,0.021235538910983,-0.0008744279021877,0.0008637146705082,0.0008295555867881,-3.415908372017432e-05,0.0008466351286482,False,Cell & neural biology,Surgical specialties
9,18,978,694,2476.093150734901,1371.4220572710035,0.0115752817383681,0.0079569943928947,0.0017038647780798,0.0009960324383454,-0.0007078323397343,6.656061575421609e-05,3.8909503418551016e-05,-2.7651112335665072e-05,5.273505958638355e-05,False,Cell & neural biology,Editorial & miscellaneous records
9,19,1620,2142,4272.414090871811,4425.265999078751,0.0199727529596927,0.0256754049966248,0.0029399604310717,0.0032139693685257,0.0002740089374539,0.0001148480672308,0.0001255520877809,1.0704020550063466e-05,0.0001202000775058,False,Cell & neural biology,Synthetic chemistry
9,20,695,334,1696.0003625154495,665.9884462356567,0.0079284909045785,0.0038640667213526,0.0011670624267277,0.0004836921591694,-0.0006833702675583,4.5590703409077054e-05,1.889518955024441e-05,-2.669551385883264e-05,3.224294647966073e-05,False,Cell & neural biology,Civil & structural engineering
9,21,356,329,1064.1628992557526,572.1025788784027,0.0049747665473522,0.0033193406713572,0.0007322784611891,0.0004155050034399,-0.0003167734577492,2.860608770563904e-05,1.623149280020094e-05,-1.23745949054381e-05,2.2418790252919988e-05,False,Cell & neural biology,Metallurgy & alloys
9,22,1264,347,2827.5338745117188,668.6266071796417,0.0132182027209028,0.0038793733381067,0.0019457003772972,0.0004856081950563,-0.0014600921822409,7.600780111909202e-05,1.897003852304928e-05,-5.703776259604274e-05,4.748891982107065e-05,False,Cell & neural biology,Mathematics & theoretical physics
9,23,10634,10589,32146.37453091145,18964.552113175392,0.1502784101446118,0.1100323813724966,0.0221207652425864,0.0137735199629232,-0.0083472452796632,0.0008641365056916,0.0005380555908129,-0.0003260809148786,0.0007010960482523,False,Cell & neural biology,Ecology & taxonomy
