qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
3,2020,14229,6251,7978,1584,estimated,0.01990339814436437,0.1475698004647645,-0.2693334107665741,0.3091402070553028,-0.25213712584468956,0.32715840749820413,1.105817509896525,1.1280475286733769,Electrical & control engineering,0.8927111276517493,0.9631883219400453
4,2015,34437,14087,20350,2713,estimated,0.003719035212596311,0.1241734412506777,-0.23966090963873196,0.24709898006392458,-0.23479934510930642,0.2400743871337317,1.438896643738876,1.4442579142216732,Plant & microbial biology,0.9761066684176118,0.9952631405127114
4,2016,34167,13601,20566,2738,estimated,-0.19980925292543095,0.115220094568504,-0.4256406382796988,0.026022132428836886,-0.41307505624380836,0.030643466616308592,1.6785352550432462,1.3745305961154366,Plant & microbial biology,0.08289097009035547,0.3340754404850337
4,2017,32024,13502,18522,2871,estimated,-0.27047800217302465,0.14527061627273372,-0.5552084100675827,0.014252405721533412,-0.5528835816070908,-0.007460690064872844,1.5976994098184916,1.2190681110711332,Plant & microbial biology,0.06261850523520336,0.2852620794048153
4,2018,32995,14107,18888,3095,estimated,-0.23716743316110567,0.13802931836085708,-0.5077048971483855,0.03337003082617418,-0.48740960536476174,0.07183480949252849,1.970133016347382,1.5541575468372804,Plant & microbial biology,0.08575293128526562,0.3340754404850337
4,2019,35364,13857,21507,3193,estimated,-0.10172274481058996,0.09061172799103866,-0.27932173167302576,0.07587624205184582,-0.2598468266611249,0.07604194366905007,1.6142302256986654,1.4581018072584815,Plant & microbial biology,0.26159794813909254,0.6634361074639235
4,2020,37664,15709,21955,3313,estimated,-0.2383266690321374,0.07701140657605826,-0.3892690259212116,-0.08738431214306319,-0.38375704851391423,-0.09833208446873493,1.968429648867888,1.5510147951989899,Plant & microbial biology,0.001970166367390953,0.0777643364222804
5,2015,19671,7987,11684,1975,estimated,-0.3246447848732803,0.21212615903045473,-0.7404120565729715,0.09112248682641094,-0.7474687213317259,0.06068343260000058,1.4101853873883161,1.0192595081934226,Energy & thermal engineering,0.12590968971542382,0.43092550698572823
5,2016,20249,7827,12422,2120,estimated,-0.12727145098713766,0.16771575584487697,-0.4559943324430965,0.2014514304688212,-0.42736461281402927,0.1894969286238541,1.105298591067368,0.9732094728960915,Energy & thermal engineering,0.44794104443759153,0.789917540728656
5,2017,20380,8065,12315,2231,estimated,-0.12010603207493542,0.16943998843781546,-0.45220840941305374,0.2119963452631829,-0.4919468956142385,0.22509292449477553,1.2685734130098203,1.1250043926000624,Energy & thermal engineering,0.4784230737894968,0.8173060843903904
5,2018,21533,8496,13037,2289,estimated,0.23879059739862174,0.27304516303835613,-0.29637792215655623,0.7739591169537997,-0.2768383055026122,0.7629619815625963,1.0346821554586108,1.3137489983553263,Energy & thermal engineering,0.38182089649187856,0.7366897297019774
5,2019,20869,8661,12208,2412,estimated,0.20617513533395204,0.18226765192022998,-0.1510694624296987,0.5634197330976027,-0.18388499997265503,0.5728703878480519,1.0757068889152552,1.3220097966682633,Energy & thermal engineering,0.2579848494349446,0.6634361074639235
5,2020,22204,8865,13339,2552,estimated,0.17580254710238674,0.1583785384565404,-0.13461938827243242,0.4862244824772059,-0.14484642138242096,0.49252508413536883,1.0887660174952907,1.2980297111940144,Energy & thermal engineering,0.26699257983304236,0.6634361074639235
6,2015,18065,8301,9764,1801,estimated,0.058075218450285654,0.10735772610193851,-0.15234592470951383,0.26849636161008517,-0.1385769339807403,0.2539665099482072,1.6825028815165712,1.7831076514189916,Clinical diagnostics & case reports,0.5885416834925057,0.8597150854953639
6,2016,17899,8001,9898,1907,estimated,0.22191306011335976,0.11693749032161087,-0.007284420916997547,0.45111054114371707,-0.02071425660743181,0.4551130420331223,1.5341501291104653,1.915329414793161,Clinical diagnostics & case reports,0.05773472807692737,0.28323197801281697
6,2017,18669,8230,10439,1997,estimated,-0.03080308497076334,0.13374869388415184,-0.29295052498370094,0.23134435504217427,-0.29924947461691076,0.22440342288310244,1.7998555933776064,1.7452596668677103,Clinical diagnostics & case reports,0.8178542409787593,0.9505531091190015
6,2018,18697,7896,10801,2082,estimated,-0.10438930036595717,0.08345889892962714,-0.26796874226802636,0.05919014153611202,-0.25976862861227434,0.0758650704886901,1.9315789309263027,1.7401102390855874,Clinical diagnostics & case reports,0.21101222289463983,0.617964367048588
6,2019,20303,8291,12012,2151,estimated,-0.03709317021398095,0.07814671403891531,-0.19026072973025496,0.11607438930229305,-0.18999438420539239,0.11792808794361918,1.7803658514350518,1.7155362388936386,Clinical diagnostics & case reports,0.6350288682796672,0.87516583527618
6,2020,21793,9035,12758,2296,estimated,-0.6294403515674581,0.3693575933489394,-1.3533812345313794,0.09450053139646308,-1.4276961901330947,0.051537365488437015,3.6521599002410228,1.9461993014988757,Clinical diagnostics & case reports,0.08835326532016793,0.3340754404850337
7,2015,27895,11974,15921,1879,estimated,-0.004978337262885546,0.36759088918791083,-0.7254564800711908,0.7154998055454197,-0.7246244015392035,0.7168644720745613,0.969139341435102,0.9643266285324854,Electrochemical materials,0.9891944628266582,0.9952631405127114
7,2016,26794,11419,15375,1997,estimated,0.5528196535098084,0.4165729732371699,-0.2636633740350446,1.3693026810546614,-0.24872008252693467,1.3805132343445095,0.5660626019016438,0.9839000627645583,Electrochemical materials,0.1844869907208938,0.5602938236708627
7,2017,26828,10958,15870,2061,estimated,-0.03299382174467347,0.15131406091315003,-0.3295693811344475,0.26358173764510057,-0.3186049659953385,0.26907172442952654,0.947125364471982,0.9163859725404847,Electrochemical materials,0.8273912315996399,0.9505531091190015
7,2018,28639,11193,17446,2161,estimated,-0.19938779541711793,0.19071645105227644,-0.5731920394795798,0.1744164486453439,-0.5396819441677032,0.1660655736003686,0.8724581123272296,0.7147457240284761,Electrochemical materials,0.29580708913518683,0.6832727129319809
7,2019,29496,10893,18603,2199,estimated,-0.3003222609336369,0.13644050078321873,-0.5677456424687456,-0.0328988793985282,-0.5466664031299506,-0.019811522704298,1.026458270264818,0.7601739755294596,Electrochemical materials,0.0277273503748188,0.21061826143569382
7,2020,32814,10882,21932,2238,estimated,-0.15695289362048825,0.07874929898906681,-0.31130151963905917,-0.002604267601917315,-0.29582903240608555,0.012360832230644823,0.9023917359499712,0.7713142123242219,Electrochemical materials,0.046253743179171865,0.2804842666179827
8,2015,21095,8023,13072,3248,estimated,-0.4656421513270457,0.15636295543478163,-0.7721135439792177,-0.15917075867487368,-0.7496990155318383,-0.16045449791141309,4.129424783398358,2.592171569713032,Humanities & politics,0.002901767301748122,0.07931497291444867
