candidate,stage,covariate,mean_broad,mean_specialized,smd
primary_leaves_63,raw,lead_country=MX,0.005073628132213699,0.004653313464235624,-0.006041740072973058
primary_leaves_63,raw,lead_country=MY,0.0066850061793354435,0.0036908309957924264,-0.04168736319584972
primary_leaves_63,raw,lead_country=MZ,0.0001295089787468607,8.98492286115007e-05,-0.0037871510203041987
primary_leaves_63,raw,lead_country=NA,6.182589437664204e-05,4.64586255259467e-05,-0.0020885289204483743
primary_leaves_63,raw,lead_country=NC,8.460385546277333e-06,1.6216690042075738e-05,0.002208136651236958
primary_leaves_63,raw,lead_country=NE,4.685751994861292e-05,2.235273492286115e-05,-0.004165710903724682
primary_leaves_63,raw,lead_country=NG,0.006415575439630919,0.0022821704067321176,-0.06284638758425766
primary_leaves_63,raw,lead_country=NI,1.1063581098978051e-05,1.6216690042075738e-05,0.0013952853948859248
primary_leaves_63,raw,lead_country=NL,0.005678871098216616,0.009865883590462834,0.047691952519888794
primary_leaves_63,raw,lead_country=NO,0.0025719572060683093,0.003624211079943899,0.018935081402002202
primary_leaves_63,raw,lead_country=NP,0.0012358670886446657,0.00033441444600280505,-0.03218814494505525
primary_leaves_63,raw,lead_country=NZ,0.0019166027256759034,0.00257757713884993,0.013959616840419286
primary_leaves_63,raw,lead_country=OM,0.0005349566860799975,0.0002704242636746143,-0.013185303437712957
primary_leaves_63,raw,lead_country=PA,7.419107325197046e-05,7.012622720897616e-05,-0.0004785370663553203
primary_leaves_63,raw,lead_country=PE,0.0003136850641004365,0.0003076788218793829,-0.0003408099901822698
primary_leaves_63,raw,lead_country=PF,7.158787769926974e-06,1.4463534361851333e-05,0.0022216293346725736
primary_leaves_63,raw,lead_country=PG,2.277796108613128e-05,2.4544179523141653e-05,0.00036310511441281225
primary_leaves_63,raw,lead_country=PH,0.0008824832923655433,0.0005561886395511922,-0.012170498528104107
primary_leaves_63,raw,lead_country=PK,0.00585784079246479,0.0031140427769985974,-0.04106701697488152
primary_leaves_63,raw,lead_country=PL,0.011814603015932207,0.009086605890603085,-0.02682832347804274
primary_leaves_63,raw,lead_country=PR,0.00037941575180612964,0.00020687237026647967,-0.010079220236834942
primary_leaves_63,raw,lead_country=PS,0.0002629227508227725,0.0001363078541374474,-0.008962632730937106
primary_leaves_63,raw,lead_country=PT,0.003688728098176917,0.004148404628330995,0.007357736720977353
primary_leaves_63,raw,lead_country=PW,1.9523966645255385e-06,3.0680224403927067e-06,0.0007041482801270903
primary_leaves_63,raw,lead_country=PY,3.644473773781005e-05,3.637798036465638e-05,-1.1063402207990924e-05
primary_leaves_63,raw,lead_country=QA,0.0005648934349360557,0.0004952664796633941,-0.0030249788684613907
primary_leaves_63,raw,lead_country=RE,1.3666776651678768e-05,1.9284712482468443e-05,0.0013840696033645442
primary_leaves_63,raw,lead_country=RO,0.002995627282270351,0.0015699509116409538,-0.02987671035549208
primary_leaves_63,raw,lead_country=RS,0.002425527456228894,0.0013828015427769986,-0.023920093445165443
primary_leaves_63,raw,lead_country=RU,0.03381225623514145,0.022446528751753157,-0.06878116210875221
primary_leaves_63,raw,lead_country=RW,0.00010803261543707978,7.319424964936886e-05,-0.0036600067652324663
primary_leaves_63,raw,lead_country=SA,0.005483631431764062,0.0031004558204768586,-0.0364611322461568
primary_leaves_63,raw,lead_country=SB,6.507988881751794e-07,2.191444600280505e-06,0.0012923719891511287
primary_leaves_63,raw,lead_country=SC,3.253994440875897e-06,3.0680224403927067e-06,-0.00010460090017607269
primary_leaves_63,raw,lead_country=SD,0.0002967642930078818,0.0001292952314165498,-0.011475400663256143
primary_leaves_63,raw,lead_country=SE,0.0041722716720910755,0.006602384291725105,0.03320263390463313
primary_leaves_63,raw,lead_country=SG,0.0027489745036519578,0.003089936886395512,0.006319643356593777
primary_leaves_63,raw,lead_country=SI,0.0010790245565944474,0.0009072580645161291,-0.005453185887893206
primary_leaves_63,raw,lead_country=SJ,1.9523966645255385e-06,8.76577840112202e-07,-0.000904565400110093
primary_leaves_63,raw,lead_country=SK,0.001661489561511233,0.0008371318373071528,-0.023338960247483272
primary_leaves_63,raw,lead_country=SL,3.1238346632408616e-05,1.1395511921458625e-05,-0.004297808141960943
